SFG, superior frontal gyrus;
SFS, superior frontal sulcus;
MFG, middle frontal gyrus;
IFS, inferior frontal sulcus;
OFC, orbital frontal cortex;
MPG, medial prefrontal gyrus;
SMA, supplementary motor area;
VMPFC, ventral medial prefrontal cortex;
ACC, anterior cingulate cortex;
MCC, middle cingulate cortex;
PCC, posterior cingulate cortex;
STG, superior temporal gyrus;
STS, superior temporal sulcus;
MTG, middle temporal gyrus;
ITS, inferior temporal sulcus;
AMY, amygdala;
HIPPO A, hippocampus anterior;
HIPPO M, hippocampus middle;
HIPPO P, hippocampus posterior;
TP, temporal pole;
OTS, occipital temporal sulcus;
FG, fusiform gyrus;
CS, collateral sulcus;
PHG, para-hippocampus gyrus;
PRECENTRAL G, precentral gyrus;
POSTCENTRAL G, postcentral gyrus;
SPL, superior parietal lobule;
IPL, inferior parietal lobule;
IPS, intra parietal sulcus;
PCG, precuneus gyrus;
CG, cuneus gyrus;
POF, parietal occipital fissure;
CF, calcarine fissure;
LG, lingual gyrus;
SOG, superior occipital gyrus;
MOG, middle occipital gyrus;
IOG, inferior occipital gyrus;
WM, white matter;
OUT, out of brain;
EC, entorhinal cortex;
FOP, frontal operculum;
POP, parietal operculum;
TOP, temporal operculum;
EMPTY, EMPTY site;
PARL, Paracentral lobule;
LESION, lesion;
INSULA, insula cortex;
BASAL, basal ganglia;
